channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
DarthLucifer08,24,19468,87,2,14,14.09,,,,,,,,,,
jeffreestar,26,5292941,187251,17328,19816,14.09,,,,,,,,,,
NurdRage,27,231371,7945,47,786,14.09,,,,,,,,,,
CineFix,24,1361619,20383,1020,3113,14.09,,,,,,,,,,
Simply Nailogical,24,1849541,135169,5430,23408,14.09,,,,,,,,,,
Blake Shelton,10,1984548,25976,2917,2345,14.09,,,,,,,,,,
Robert Jones,24,15093,210,3,26,14.09,,,,,,,,,,
Caters Clips,25,5266,29,0,13,14.09,,,,,,,,,,
Matthijs Vlot,1,456328,4309,69,264,14.09,,,,,,,,,,
Cole Truax,22,58026,274,5,105,14.09,,,,,,,,,,
Austin Evans,28,396083,12221,463,1772,14.09,,,,,,,,,,
Kmart,24,122194,22,12,5,14.09,,,,,,,,,,
Shameless Maya,26,414089,20839,521,6595,14.09,,,,,,,,,,
Life Where I'm From,22,110816,3644,110,719,14.09,,,,,,,,,,
Brothers Green Eats,26,79080,2248,225,395,14.09,,,,,,,,,,
vlogbrothers,22,177155,9287,166,881,14.09,,,,,,,,,,
Ms Deb Deb,26,1139838,39393,1607,1519,14.09,,,,,,,,,,
